Id,Code1,Code2,Code3,Wellbeing,Happy,Sad,Pain,Stress,Tired,Meaning,Interact,Day,Employment,Sex,School,Salary,Children
20210301210024,2,2,1,1,5,0,6,2,5,5,1,7,5,1,-1,-1,0
20210301210024,7,1,4,1,3,1,5,5,3,4,1,7,5,1,-1,-1,0
20210301210024,11,1,1,1,5,0,4,2,3,5,1,7,5,1,-1,-1,0
20210301210094,18,5,1,1,5,0,0,1,0,3,1,6,1,1,-1,288461,0
20210301210094,5,1,1,1,5,0,0,4,0,5,1,6,1,1,-1,288461,0
20210301210094,12,3,3,1,5,0,0,0,2,4,1,6,1,1,-1,288461,0
20210301210166,6,1,1,1,3,3,2,3,4,4,2,4,5,2,1,-1,1
20210301210166,11,1,1,1,5,0,0,0,2,4,1,4,5,2,1,-1,1
20210301210166,7,1,4,1,5,0,0,2,0,4,1,4,5,2,1,-1,1
20210301210218,6,3,1,1,5,0,0,4,6,6,1,5,4,2,1,-1,1
20210301210218,11,1,1,1,5,0,0,0,0,0,2,5,4,2,1,-1,1
20210301210218,12,3,3,1,0,0,0,0,5,6,1,5,4,2,1,-1,1
20210301210227,11,1,1,1,4,0,0,0,5,2,2,1,2,2,1,37500,0
20210301210227,12,3,3,1,5,0,0,0,2,5,1,1,2,2,1,37500,0
20210301210227,2,2,1,1,5,0,0,0,2,5,1,1,2,2,1,37500,0
20210301210230,5,1,1,1,4,2,0,6,5,2,1,5,1,2,2,20000,2
20210301210230,5,1,1,1,5,1,0,4,3,4,1,5,1,2,2,20000,2
20210301210230,16,1,2,1,6,0,0,3,2,6,1,5,1,2,2,20000,2
20210301210255,18,11,1,1,3,0,0,1,1,4,1,5,5,1,1,-1,4
20210301210255,6,1,1,1,3,0,0,0,0,4,1,5,5,1,1,-1,4
20210301210255,18,6,1,1,3,0,0,0,2,0,1,5,5,1,1,-1,4
20210301210286,11,1,1,1,0,0,0,0,3,0,2,2,5,1,1,-1,1
20210301210286,6,1,1,1,1,0,0,0,2,0,2,2,5,1,1,-1,1
20210301210286,18,6,1,1,3,0,0,0,0,0,2,2,5,1,1,-1,1
20210301210288,5,1,1,1,5,1,0,5,4,6,1,2,1,1,2,150000,0
20210301210288,13,2,24,1,6,0,0,2,3,6,1,2,1,1,2,150000,0
20210301210288,18,7,3,1,3,0,0,1,4,2,1,2,1,1,2,150000,0
20210301210296,6,1,1,1,6,0,0,0,0,6,2,2,1,1,1,39000,0
20210301210296,12,3,3,1,6,0,0,0,0,6,2,2,1,1,1,39000,0
20210301210296,6,3,1,1,6,0,0,0,0,6,2,2,1,1,1,39000,0
20210301210302,18,14,1,1,6,0,0,0,1,4,1,1,1,1,2,94500,3
20210301210302,11,1,1,1,6,0,0,0,0,4,1,1,1,1,2,94500,3
20210301210302,12,3,12,1,6,0,2,0,2,1,1,1,1,1,2,94500,3
20210301210316,13,1,7,1,4,0,0,5,3,6,1,7,5,1,1,-1,1
20210301210316,13,1,7,1,5,0,0,4,1,6,1,7,5,1,1,-1,1
20210301210316,13,1,7,1,1,5,4,4,5,5,1,7,5,1,1,-1,1
20210301210328,11,1,1,1,3,0,1,1,4,2,2,2,4,2,1,-1,2
20210301210328,12,3,3,1,3,1,0,2,4,3,1,2,4,2,1,-1,2
20210301210328,3,1,3,1,5,0,0,0,4,5,1,2,4,2,1,-1,2
20210301210502,18,5,1,1,6,0,0,0,5,6,1,5,1,2,2,28846,2
20210301210502,5,1,1,1,6,0,0,0,4,6,1,5,1,2,2,28846,2
20210301210502,18,5,1,1,6,0,0,0,4,6,1,5,1,2,2,28846,2
20210301210550,2,6,2,1,3,1,0,1,3,2,2,2,1,1,2,192307,0
20210301210550,2,2,1,1,4,1,0,1,2,1,1,2,1,1,2,192307,0
20210301210550,12,3,3,1,3,1,1,1,3,2,1,2,1,1,2,192307,0
20210301210573,2,2,1,1,4,4,3,5,3,3,2,4,5,2,-1,-1,0
20210301210573,11,1,1,1,4,4,0,4,4,4,2,4,5,2,-1,-1,0
20210301210573,12,3,3,1,5,4,0,5,4,4,2,4,5,2,-1,-1,0
20210301210591,2,4,1,1,4,0,3,0,3,6,2,3,5,1,-1,-1,0
20210301210591,12,3,3,1,4,0,4,0,1,5,1,3,5,1,-1,-1,0
20210301210591,1,3,1,1,1,1,3,0,1,1,1,3,5,1,-1,-1,0
20210301210601,5,1,1,1,5,1,1,2,2,5,1,5,1,2,-1,148076,0
20210301210601,12,3,3,1,5,0,0,6,0,6,1,5,1,2,-1,148076,0
20210301210601,12,3,3,1,2,1,0,0,0,1,1,5,1,2,-1,148076,0
20210301210630,5,1,1,1,4,0,0,1,5,4,1,6,1,1,1,190320,0
20210301210630,5,1,1,1,1,2,0,1,3,0,2,6,1,1,1,190320,0
20210301210630,5,1,1,1,2,5,0,3,4,0,2,6,1,1,1,190320,0
20210301210632,2,6,2,1,1,1,1,1,2,2,1,7,5,1,2,-1,1
20210301210632,12,3,12,1,1,1,1,1,1,2,1,7,5,1,2,-1,1
20210301210632,12,3,12,1,1,1,1,1,1,2,1,7,5,1,2,-1,1
20210301210639,11,1,1,1,3,0,0,3,2,1,2,5,1,1,-1,-1,0
20210301210639,2,2,1,1,3,1,0,3,1,4,2,5,1,1,-1,-1,0
20210301210639,5,1,1,1,3,1,0,4,3,4,1,5,1,1,-1,-1,0
20210301210648,5,1,1,1,3,0,0,4,3,5,2,5,1,1,2,135135,0
20210301210648,18,2,9,1,4,0,0,3,5,3,2,5,1,1,2,135135,0
20210301210648,2,2,1,1,4,0,0,2,5,2,1,5,1,1,2,135135,0
20210301210685,3,1,1,1,4,0,0,1,4,5,2,5,1,1,2,211538,1
20210301210685,3,1,9,1,3,0,0,2,2,4,2,5,1,1,2,211538,1
20210301210685,18,7,1,1,3,0,0,2,2,3,2,5,1,1,2,211538,1
